incident_id,timestamp,time,system_state,incident_phase,failing_service,service_name,project_id,cpu_percent,in_flight_queue,incoming_rate,processing_rate,queue_growth_rate,cpu_trend_5min_ma,cpu_trend_10min_ma,label
INC-00087,2026-05-01T01:27:00,01:27:00,warning,degraded,Php,Php,3,71.04,37.68,137.37,145.2,-7.82,49.2701,51.4688,0
INC-00088,2026-05-01T01:28:00,01:28:00,failure,critical,Java,Java,4,72.47,146.99,45.27,35.49,9.78,48.7344,50.569,1
INC-00089,2026-05-01T01:29:00,01:29:00,healthy,normal,,Go,2,34.97,32.67,156.5,146.38,10.13,48.7673,51.7167,0
INC-00090,2026-05-01T01:30:00,01:30:00,warning,degraded,Python,Python,0,52.28,53.08,152.69,108.82,43.87,54.4987,50.8567,1
INC-00091,2026-05-01T01:31:00,01:31:00,healthy,normal,,Php,3,29.68,39.56,109.22,78.66,30.56,52.0872,50.4262,0
INC-00092,2026-05-01T01:32:00,01:32:00,healthy,normal,,Php,3,27.78,74.39,141.52,125.58,15.94,43.4348,46.3524,0
INC-00093,2026-05-01T01:33:00,01:33:00,recovering,recovery,,Go,2,56.47,36.47,94.22,82.94,11.28,40.2366,44.4855,0
INC-00094,2026-05-01T01:34:00,01:34:00,healthy,normal,,Php,3,35.93,42.96,105.89,104.24,1.66,40.4296,44.5985,0
INC-00095,2026-05-01T01:35:00,01:35:00,healthy,normal,,Go,2,24.72,68.91,164.96,161.48,3.48,34.9169,44.7078,0
INC-00096,2026-05-01T01:36:00,01:36:00,healthy,normal,,Go,2,42.04,29.44,111.85,104.62,7.23,37.3884,44.7378,0
INC-00097,2026-05-01T01:37:00,01:37:00,healthy,normal,,Node.js,1,23.53,51.38,63.91,52.7,11.21,36.5388,39.9868,0
INC-00098,2026-05-01T01:38:00,01:38:00,healthy,normal,,Python,0,37.64,13.55,118.1,123.45,-5.35,32.7722,36.5044,0
INC-00099,2026-05-01T01:39:00,01:39:00,healthy,normal,,Python,0,28.49,28.24,117.64,107.21,10.44,31.2828,35.8562,0
INC-00100,2026-05-01T01:40:00,01:40:00,warning,degraded,Python,Python,0,62.07,57.64,155.95,170.78,-14.83,38.7547,36.8358,0
INC-00101,2026-05-01T01:41:00,01:41:00,healthy,normal,,Php,3,39.03,30.19,120.43,121.6,-1.17,38.1534,37.7709,0
INC-00102,2026-05-01T01:42:00,01:42:00,healthy,normal,,Node.js,1,39.17,39.11,107.35,66.79,40.56,41.2818,38.9103,0
INC-00103,2026-05-01T01:43:00,01:43:00,healthy,normal,,Go,2,45.7,59.86,151.35,115.07,36.28,42.8928,37.8325,0
INC-00104,2026-05-01T01:44:00,01:44:00,healthy,normal,,Ruby,5,34.34,38.42,123.62,109.52,14.1,44.0636,37.6732,0
INC-00105,2026-05-01T01:45:00,01:45:00,warning,degraded,Python,Python,0,67.45,66.46,97.5,93.67,3.83,45.139,41.9469,1
INC-00106,2026-05-01T01:46:00,01:46:00,recovering,recovery,,Node.js,1,46.5,54.31,154.65,135.34,19.31,46.6318,42.3926,0
INC-00107,2026-05-01T01:47:00,01:47:00,healthy,normal,,Php,3,36.46,58.71,125.81,124.94,0.87,46.0887,43.6853,0
INC-00108,2026-05-01T01:48:00,01:48:00,failure,critical,Python,Python,0,91.52,154.82,120.09,89.02,31.06,55.2527,49.0727,1
INC-00109,2026-05-01T01:49:00,01:49:00,healthy,normal,,Python,0,34.21,56.4,125.34,86.73,38.61,55.227,49.6453,0
INC-00110,2026-05-01T01:50:00,01:50:00,healthy,normal,,Node.js,1,20.57,80.78,87.88,55.1,32.78,45.8507,45.4949,0
INC-00111,2026-05-01T01:51:00,01:51:00,healthy,normal,,Python,0,37.65,68.23,104.17,92.36,11.81,44.0814,45.3566,0
INC-00112,2026-05-01T01:52:00,01:52:00,healthy,normal,,Ruby,5,37.92,39.53,120.11,113.42,6.69,44.3735,45.2311,0
INC-00113,2026-05-01T01:53:00,01:53:00,healthy,normal,,Java,4,29.56,75.86,114.16,87.11,27.05,31.9821,43.6174,0
INC-00114,2026-05-01T01:54:00,01:54:00,warning,degraded,Php,Php,3,54.72,55.28,158.17,143.43,14.74,36.0844,45.6557,0
INC-00115,2026-05-01T01:55:00,01:55:00,healthy,normal,,Java,4,46.81,42.11,126.52,79.21,47.31,41.3318,43.5912,0
INC-00116,2026-05-01T01:56:00,01:56:00,recovering,recovery,,Java,4,53.93,55.57,145.65,94.62,51.03,44.5877,44.3346,0
INC-00117,2026-05-01T01:57:00,01:57:00,healthy,normal,,Python,0,33.17,72.25,120.28,114.37,5.91,43.6379,44.0057,0
INC-00118,2026-05-01T01:58:00,01:58:00,healthy,normal,,Java,4,25.9,59.1,151.69,118.93,32.76,42.9069,37.4445,0
INC-00119,2026-05-01T01:59:00,01:59:00,warning,degraded,Go,Go,2,58.43,86.45,131.93,123.44,8.49,43.647,39.8657,0
INC-00120,2026-05-01T02:00:00,02:00:00,healthy,normal,,Java,4,45.42,71.73,120.4,122.31,-1.91,43.3698,42.3508,0
INC-00121,2026-05-01T02:01:00,02:01:00,healthy,normal,,Java,4,36.1,60.46,119.6,122.75,-3.15,39.8037,42.1957,0
INC-00122,2026-05-01T02:02:00,02:02:00,warning,degraded,Node.js,Node.js,1,60.6,29.48,91.37,62.69,28.68,45.2893,44.4636,0
INC-00123,2026-05-01T02:03:00,02:03:00,recovering,recovery,,Python,0,54.08,46.41,135.21,114.0,21.21,50.9241,46.9155,0
INC-00124,2026-05-01T02:04:00,02:04:00,warning,degraded,Python,Python,0,58.48,51.43,118.79,114.87,3.92,50.9359,47.2915,0
INC-00125,2026-05-01T02:05:00,02:05:00,warning,degraded,Node.js,Node.js,1,77.01,63.93,104.94,103.57,1.37,57.2531,50.3115,0
INC-00126,2026-05-01T02:06:00,02:06:00,warning,degraded,Java,Java,4,75.82,62.75,153.19,152.02,1.17,65.1974,52.5005,0
INC-00127,2026-05-01T02:07:00,02:07:00,recovering,recovery,,Java,4,46.27,53.39,82.49,58.91,23.59,62.3318,53.8105,0
INC-00128,2026-05-01T02:08:00,02:08:00,healthy,normal,,Python,0,29.97,52.41,107.33,74.73,32.6,57.5104,54.2172,0
INC-00129,2026-05-01T02:09:00,02:09:00,healthy,normal,,Go,2,14.05,64.41,150.83,135.0,15.84,48.6244,49.7802,0
INC-00130,2026-05-01T02:10:00,02:10:00,healthy,normal,,Node.js,1,23.15,32.83,129.47,125.65,3.81,37.8525,47.5528,0
INC-00131,2026-05-01T02:11:00,02:11:00,healthy,normal,,Python,0,24.28,83.91,118.56,90.06,28.51,27.5449,46.3711,0
INC-00132,2026-05-01T02:12:00,02:12:00,warning,degraded,Python,Python,0,66.08,9.06,127.53,83.19,44.34,31.5077,46.9198,0
INC-00133,2026-05-01T02:13:00,02:13:00,warning,degraded,Node.js,Node.js,1,62.39,79.11,125.38,120.16,5.22,37.9916,47.751,0
INC-00134,2026-05-01T02:14:00,02:14:00,healthy,normal,,Ruby,5,24.24,49.1,74.5,55.86,18.64,40.0281,44.3263,0
INC-00135,2026-05-01T02:15:00,02:15:00,healthy,normal,,Node.js,1,32.75,70.05,109.52,74.82,34.7,41.9488,39.9007,0
INC-00136,2026-05-01T02:16:00,02:16:00,warning,degraded,Go,Go,2,69.04,57.28,168.5,113.54,54.95,50.9005,39.2227,1
INC-00137,2026-05-01T02:17:00,02:17:00,healthy,normal,,Php,3,39.22,56.92,100.22,75.91,24.31,45.5287,38.5182,0
INC-00138,2026-05-01T02:18:00,02:18:00,warning,degraded,Node.js,Node.js,1,49.8,61.09,110.45,99.0,11.45,43.0112,40.5014,0
INC-00139,2026-05-01T02:19:00,02:19:00,healthy,normal,,Ruby,5,33.97,66.18,103.75,80.84,22.91,44.9585,42.4933,0
INC-00140,2026-05-01T02:20:00,02:20:00,healthy,normal,,Ruby,5,23.93,43.42,117.39,71.65,45.74,43.195,42.5719,0
INC-00141,2026-05-01T02:21:00,02:21:00,healthy,normal,,Node.js,1,42.21,70.7,102.51,66.47,36.04,37.8293,44.3649,0
INC-00142,2026-05-01T02:22:00,02:22:00,healthy,normal,,Go,2,41.27,28.31,134.6,100.31,34.29,38.2394,41.884,0
INC-00143,2026-05-01T02:23:00,02:23:00,failure,critical,Node.js,Node.js,1,80.82,129.89,125.92,117.09,8.83,44.442,43.7266,1
INC-00144,2026-05-01T02:24:00,02:24:00,recovering,recovery,,Node.js,1,43.87,66.72,143.21,92.98,50.23,46.4215,45.69,0
INC-00145,2026-05-01T02:25:00,02:25:00,warning,degraded,Python,Python,0,61.31,69.9,88.47,77.88,10.59,53.8969,48.546,0
INC-00146,2026-05-01T02:26:00,02:26:00,healthy,normal,,Go,2,16.98,59.22,109.79,72.45,37.33,48.8496,43.3394,0
INC-00147,2026-05-01T02:27:00,02:27:00,healthy,normal,,Go,2,37.69,42.13,113.23,79.92,33.31,48.1325,43.1859,0
INC-00148,2026-05-01T02:28:00,02:28:00,warning,degraded,Python,Python,0,62.82,67.93,133.67,91.71,41.96,44.5328,44.4874,0
INC-00149,2026-05-01T02:29:00,02:29:00,warning,degraded,Node.js,Node.js,1,72.76,36.61,96.2,60.96,35.25,50.3108,48.3662,1
INC-00150,2026-05-01T02:30:00,02:30:00,healthy,normal,,Ruby,5,26.21,85.03,147.47,137.98,9.49,43.2914,48.5941,0
INC-00151,2026-05-01T02:31:00,02:31:00,healthy,normal,,Python,0,30.05,48.31,155.59,129.41,26.19,45.9052,47.3774,0
INC-00152,2026-05-01T02:32:00,02:32:00,warning,degraded,Python,Python,0,52.95,19.21,90.33,91.74,-1.4,48.9572,48.5449,0
INC-00153,2026-05-01T02:33:00,02:33:00,healthy,normal,,Go,2,26.97,26.11,105.27,68.37,36.9,41.7869,43.1599,0
INC-00154,2026-05-01T02:34:00,02:34:00,healthy,normal,,Ruby,5,25.54,50.87,104.04,69.95,34.09,32.3435,41.3271,0
INC-00155,2026-05-01T02:35:00,02:35:00,healthy,normal,,Python,0,42.97,52.8,198.97,149.87,49.1,35.6945,39.4929,0
INC-00156,2026-05-01T02:36:00,02:36:00,healthy,normal,,Php,3,29.41,89.39,107.1,105.28,1.83,35.5679,40.7365,0
INC-00157,2026-05-01T02:37:00,02:37:00,failure,critical,Php,Php,3,88.99,109.23,170.33,128.24,42.09,42.777,45.8671,1
INC-00158,2026-05-01T02:38:00,02:38:00,recovering,recovery,,Python,0,46.95,50.79,82.0,65.95,16.06,46.7746,44.2808,0
INC-00159,2026-05-01T02:39:00,02:39:00,healthy,normal,,Php,3,24.84,28.81,90.31,67.81,22.51,46.6347,39.4891,0
INC-00160,2026-05-01T02:40:00,02:40:00,healthy,normal,,Node.js,1,33.65,40.15,99.4,63.63,35.77,44.7718,40.2332,0
INC-00161,2026-05-01T02:41:00,02:41:00,healthy,normal,,Php,3,39.79,83.68,94.63,101.23,-6.6,46.8476,41.2077,0
INC-00162,2026-05-01T02:42:00,02:42:00,healthy,normal,,Php,3,25.34,27.27,111.96,97.89,14.08,34.1165,38.4467,0
INC-00163,2026-05-01T02:43:00,02:43:00,healthy,normal,,Go,2,41.47,61.74,98.74,98.14,0.6,33.0203,39.8975,0
INC-00164,2026-05-01T02:44:00,02:44:00,warning,degraded,Python,Python,0,58.2,57.86,95.42,88.66,6.76,39.6919,43.1633,0
INC-00165,2026-05-01T02:45:00,02:45:00,healthy,normal,,Java,4,31.14,49.52,154.75,132.64,22.11,39.1884,41.9801,0
INC-00166,2026-05-01T02:46:00,02:46:00,healthy,normal,,Node.js,1,39.25,60.39,156.71,101.06,55.66,39.0789,42.9633,0
INC-00167,2026-05-01T02:47:00,02:47:00,healthy,normal,,Python,0,29.69,26.8,148.48,136.8,11.68,39.9498,37.0332,0
INC-00168,2026-05-01T02:48:00,02:48:00,healthy,normal,,Python,0,35.3,83.13,135.72,91.98,43.74,38.7154,35.8678,0
INC-00169,2026-05-01T02:49:00,02:49:00,healthy,normal,,Go,2,32.48,88.5,122.78,99.11,23.67,33.5714,36.6317,0
INC-00170,2026-05-01T02:50:00,02:50:00,healthy,normal,,Php,3,36.03,50.94,105.09,96.11,8.98,34.5512,36.8698,0
INC-00171,2026-05-01T02:51:00,02:51:00,recovering,recovery,,Python,0,30.95,98.46,91.41,90.59,0.81,32.8929,35.9859,0
INC-00172,2026-05-01T02:52:00,02:52:00,healthy,normal,,Go,2,20.36,42.02,130.89,123.37,7.52,31.0269,35.4884,0
INC-00173,2026-05-01T02:53:00,02:53:00,healthy,normal,,Python,0,39.93,58.01,84.79,79.34,5.45,31.9524,35.3339,0
INC-00174,2026-05-01T02:54:00,02:54:00,failure,critical,Php,Php,3,96.3,158.64,90.18,60.83,29.35,44.7154,39.1434,0
INC-00175,2026-05-01T02:55:00,02:55:00,recovering,recovery,,Python,0,42.72,40.82,154.59,119.51,35.08,46.0516,40.3014,0
INC-00176,2026-05-01T02:56:00,02:56:00,healthy,normal,,Php,3,33.05,22.37,177.02,110.01,67.01,46.4703,39.6816,0
INC-00177,2026-05-01T02:57:00,02:57:00,failure,critical,Node.js,Node.js,1,90.36,97.77,131.8,126.49,5.31,60.4694,45.7481,0
INC-00178,2026-05-01T02:58:00,02:58:00,healthy,normal,,Ruby,5,40.55,91.22,153.19,164.88,-11.69,60.593,46.2727,0
INC-00179,2026-05-01T02:59:00,02:59:00,healthy,normal,,Python,0,18.78,39.42,112.62,82.45,30.18,45.0892,44.9023,0
INC-00180,2026-05-01T03:00:00,03:00:00,healthy,normal,,Node.js,1,27.91,46.29,79.87,51.42,28.45,42.1283,44.0899,0
INC-00181,2026-05-01T03:01:00,03:01:00,warning,degraded,Python,Python,0,62.34,27.74,138.37,115.92,22.44,47.9866,47.2285,0
INC-00182,2026-05-01T03:02:00,03:02:00,warning,degraded,Ruby,Ruby,5,70.63,68.97,137.08,140.96,-3.89,44.0401,52.2547,0
INC-00183,2026-05-01T03:03:00,03:03:00,healthy,normal,,Java,4,54.99,34.37,122.15,107.0,15.15,46.9284,53.7607,0
INC-00184,2026-05-01T03:04:00,03:04:00,healthy,normal,,Node.js,1,33.18,40.17,112.73,70.27,42.45,49.8079,47.4486,0
INC-00185,2026-05-01T03:05:00,03:05:00,warning,degraded,Php,Php,3,53.74,55.99,148.87,161.84,-12.97,54.9744,48.5514,0
INC-00186,2026-05-01T03:06:00,03:06:00,healthy,normal,,Java,4,38.22,28.72,90.43,91.72,-1.3,50.1502,49.0684,0
INC-00187,2026-05-01T03:07:00,03:07:00,healthy,normal,,Go,2,45.57,46.43,96.79,64.44,32.35,45.1387,44.5894,0
INC-00188,2026-05-01T03:08:00,03:08:00,warning,degraded,Go,Go,2,65.86,78.04,89.76,95.22,-5.47,47.3141,47.1213,0
INC-00189,2026-05-01T03:09:00,03:09:00,warning,degraded,Python,Python,0,57.75,58.57,122.55,101.15,21.4,52.2282,51.0181,0
INC-00190,2026-05-01T03:10:00,03:10:00,warning,degraded,Python,Python,0,72.66,52.61,87.36,68.66,18.7,56.0122,55.4933,0
INC-00191,2026-05-01T03:11:00,03:11:00,failure,critical,Java,Java,4,93.31,134.3,99.47,82.61,16.86,67.0302,58.5902,1
INC-00192,2026-05-01T03:12:00,03:12:00,healthy,normal,,Ruby,5,26.79,42.22,98.83,100.54,-1.71,63.2749,54.2068,0
